西式/美式,義大利麵,ChIJM7TkUo-pQjQRjgS-tZAS4mo,堤香義大利麵,"從大學吃到現在的優質好店，麵條彈牙不死硬，調味配料都很新鮮美味；非常感謝老闆娘香香阿姨還特別有做吃素的餐點，最愛素食咖喱/奶汁菌菇、素食玻璃麵。

吃完麵後剩下的湯汁拿去沾剛烤好的吐司，一面有可口的調味搭配上另一面酥脆的口感，堪稱完美空盤就是對店家手藝最高的致敬

謝謝老闆娘和老闆堅持給客人最好的品質，來師大必吃的好店","堤香在泰順街的新民小學附近的巷內，算是價格親民的義大利麵店，麵量足夠吐司和紅茶自助式可自取，＄＄120～140左右。

若要省荷包又要吃得飽，可以。但美味度就不能太期待了，尚可而已。

用餐區有一樓及B1，但1樓較為舒適。內部裝潢有鄉村樸實風，簡單舒適",生意很好，麵量很大，個人覺得口味中規中矩，沒有特別讓人驚艷的地方。,"土司吃到飽，義大利麵水準尚可
吃飽絕對沒問題
口味就一般般","蒜香培根在同價位區間沒有對手
不要輕易加辣，小辣就是大辣..."
日式料理,咖哩,ChIJb95duVepQjQR9Px18Q2_3aM,咖哩杯杯,"只因為每天經過看到很多人，給他一次機會，嗯！不會有第二次了。
店員控場說樓下有位置點餐完再下樓，點餐員說先下樓確認好位置寫上桌號再來點餐！！
餐點上來口味真的普普通通，盤上的青菜類應該都是燙好旁邊備用，白飯口感偏硬，套餐升級雞塊，我誤以為是炸雞塊自己失策，紅茶有點淡，隔壁桌可樂給鋁罐還可以，建議只是想吃方便簡單的朋友們再來就可以，整套$175 cp值偏低！","炸雞咖哩飯+B套餐(脆薯+飲料)
150+50
整體份量較適合女生，男生可能會稍嫌不夠
炸雞和薯條都很棒
飲料熱紅茶帶微糖還不錯
結帳有街口QRcode很方便
地點也很方便，就在台電大樓三號出門出來左手邊
下次想試試炸豬排咖哩飯","二訪。
第一次是吃炸雞咖喱飯，炸雞真的跟大家說的一樣很多汁。
今天吃鴨胸咖喱飯，算是偏鹹但是意外的跟咖喱醬很搭滿特別的。
小菜的涼拌小黃瓜微辣，滿解膩的也很爽口，我個人很喜歡。
店家環境舒適乾淨，感覺有注重乾淨衛生","咖哩醬汁中規中矩，沒特別突出，但上餐的時候豬排是熱的，感覺得到是剛炸起來，相較之下醬汁卻是微溫？感覺是先裝盤後放在那邊等豬排炸好，吃起來溫度的落差感讓整體感受打了折扣，再加上餐期出餐稍慢，等了大概二十分鐘…以這類餐點在餐期內這個速度個人認為稍嫌過慢，然後希望可以至少放個飲用水讓客人取用。

綜上所述，三顆星","炸雞很juicy
軟法搭上咖喱醬 意外地很搭 美味
裝潢也別有一番風味，富有設計感，環境舒適
別只是經過店面往內看，直接走進來品嚐就對了"
日式料理,咖哩,ChIJMd7HkIWpQjQRxsZTwf1HrwQ,正宗馬來西亞咖哩雞飯,好吃，阿姨人很親切,超慢，沒時間等別來,少見的馬來西亞料理，咖喱OK，炸薯塊冷的不OK,"這間的佈置很家庭風，只有老闆娘一個人在做
肉骨茶湯和我記憶中的味道很不一樣，不過不難喝，別有一番風味（或許是以前喝的都不道地？這個才是正宗？？）
老闆一再強調她做的炸雞翅特好吃
來過的客人都說讚（我還沒試過
但聽說10月準備離開關店了",口味道地用料實在！大推，馬來西亞阿姨人超好超可愛，阿姨得知我們是看google評價而來，又驚又喜說不知道評價怎麼玩，要我們幫跟大家道謝，謝謝大家的支持和鼓勵～阿姨10月中就要離開台灣了！大家趕快把握時間去吃呀！！沒吃到真的殘念！
日式料理,咖哩,ChIJO4lhio-pQjQRfksW7DahqLs,銀兔湯咖哩--特色必吃湯咖哩推薦 日式湯咖哩 日式料理餐廳 師大人氣美食 咖哩 古亭台電大樓捷運站附近美食餐廳,好吃的湯咖哩日式風味，真的很好吃。,味道不錯 但原本的飯量有點少 需要加飯,可樂餅超級好吃，必點真的超級好吃！,"-
平心而論，咖喱的口味非常令人喜愛，香、辣、濃一應具全，彈牙牛舌與處理得宜的蔬菜配上白飯真的是一大享受，無奈實在有些缺點不得不讓人扣星：

1.首先店面真的過度擁擠，像這樣一餐要價3、400的美食不應當吃的縮手縮腳，側身拿個衛生紙都深怕撞倒別人的杯水，附近也有許多學生族來用餐，我看大家的背包都無處可放，實在稱不上是舒服的用餐環境，店內亦瀰漫著一股油煙味，還不如外帶回家比較實在。

2.白飯份量非常少，銀兔的咖喱走重口味，上桌的白飯我眼看份量不多就「節省」著配（大概是外面自助餐的半碗～2/3）但實在吃的不夠過癮啊啊！男友已經把飯加到最大的「富士山」款（但實際上桌也沒有到山，就是一般店面的1～1.5碗飯）

3.男友點了牛排咖喱，貴店都不附刀子的嗎？倘若牛排料理得當、軟嫩到不需要切塊就算了，但實際吃起來約莫三分熟，也並不是高級菲力可以直接咬斷（當然這個價格並不會要求店家用太好的牛排），附個刀子供牛排餐的顧客切塊應該很合理吧？

4.結帳時被告知要收取服務費...但從頭到尾除了上菜我根本沒見到有什麼服務欸？用餐中水杯空了兩次都是我主動端著杯子詢問店員水到哪邊加才有的啊單價已經不低、用餐環境不好、沒有該有的服務還要收10%會不會太扯
-
結論
雖然剛入口的時候感到非常驚艷，不起眼巷弄內竟有這麼美味的咖喱，但用完餐細思實在有太多缺點令人不想再回訪，倘若開新的店面有改進空間及服務問題才會想去吃。","不得不說第一次來吃真的太驚艷了
本來只是跟朋友在西門町找吃的
想說要找咖哩
結果找到這家位於師大的店
評價超高又很多評分覺得應該要來朝聖一下
打電話確認有開就衝來排隊等吃

店裡外的設計風格還不錯很特別
尤其裡面還有從牆面到天花板的塗鴉

牛排湯咖哩真的表現出乎意料之外好吃
真的神好吃~也太好吃了吧!?怎麼可以
（我的心裡驚嘆號斗大的堆疊）
雖然湯咖哩不是一般的濃稠咖哩
但是卻有點麻辣咖哩湯的風味
搭起牛排竟是毫無違和的完美
我都要站起來給掌聲了

後來二訪還是覺得很好吃

唯一缺點應該是環境擁擠（因為人多）
還有店家位置設計比較密集一些
店家內用位置也小

然後如果是靠廚房的油煙真的比較多一點
地板也油膩（尤其是通往廁所的路上）

但好吃就是好吃
大不了我來就坐靠外面
然後不要上它們的廁所
為了牛排湯咖哩我覺得根本無所謂XD
好吃才是最重要的事情WWWW

我個人對好吃的店家容忍度會相當高
就算要等很久或是店員態度差
還是用餐位置很擠或是油膩
我都可以忍（個人觀感問題）
（有小強飛來飛去當然就不行）

以上如果喜歡牛排的話要去吃吃看真的很推薦
其他口味(燉肉)我覺得還好~好吃但是吃第三塊就膩了"
日式料理,咖哩,ChIJpcsW-IipQjQR7Fv0jfqck_E,公館-咖哩先生,有蒸魚真是太好了，鹹蛋肉餅也不錯，店面能再乾淨點就好了。,台北最平價最威的清蒸鮮魚，嗜魚者的愛店。香港老闆，北菇蒸雞也好吃。,清爽的蒸菜。剛才的咖喱、肉餅、鱸魚都很好。魚夠肥，啖啖肉,清蒸黃豆鼓尼羅河紅魚，蒸鼓椒排骨，很好吃。,平常吃日式咖哩的人 感覺不會喜歡 清淡 真的清淡
日式料理,咖哩,ChIJ_fgu74qpQjQRVxMsgm1RIRs,三時午咖哩屋,炸雞嫩多汁，咖哩讚，半熟蛋加分，價格平價,推雞塊咖哩，CP值高,"水源市場人氣美食
位子稍少所以建議外帶
推薦炸雞塊咖哩","決對不要在正午餐時間來，已滿座？還有排隊等待的人潮！我是特地來品嚐，非吃到不可？所以去逛逛等1小時後再回來，所幸有位置了。
炸竹莢魚片，用的是日式粗麵包粉，非常酥鬆脆！！重點在於魚尾巴可抓著炸魚尾巴，慢慢品嚐魚肉鮮美，最後再把魚尾巴放入嘴巴裏，細細品嚐酥脆的魚骨在口中化掉？人間美味！！
白飯好吃！咖哩醬是日式的風味？香料味不明顯？荷包蛋過熟？蔬菜類太少？？
味增湯很淡？但很有誠意，有豆腐塊。還是老闆娘幫我服務的，真謝謝她！！","炸雞咖喱烏龍麵×麵體蠻一般的 沒有烏龍麵的Q彈度，有一塊雞塊裡面沒有炸熟
豬排
炸物都炸的蠻酥脆
只是建議可以提供炸物的沾醬 不然吃起來有點乾

平價美食

如果照片跑不出來 可以點↑↑上方我的頭像裡查看

飲時參考：
甜：以星巴克「焦糖瑪奇朵」來說，半份濃縮、糖正常
鹹：蠻重鹹的
辣：中口味斟酌參考"
日式料理,咖哩,ChIJ0ecXFh6pQjQRHseNTyDDdog,小丘chiu巢咖哩,"位於台北市大安區的巷弄美食
下午快4點的時候要來用餐
發現裡面的位置依然是坐滿滿的
也有兩三組人在外候位
從窗外看進店內
客人享用著咖哩 吃完咖哩還可以再點個冰來吃呢
等到我們入座的時候
發現進門的右手邊有個好特別的擺設
衛生紙的擺設實在是太酷啦！！
巢咖哩Curry -
(牛 辛口) (雞 甘口)
內用主餐附贈 半熟蛋
至於配料可以擇一 (油條碎/起司絲)
有分A餐 B餐 C餐
A餐是(主餐+手工焦糖布丁+氣泡飲) $300
B餐是(主餐+手工焦糖布丁) $250
C餐是(主餐+氣泡飲)$240
加飯 (+20) 加帕瑪森起司絲 ($20)
加香酥油條碎($20) 加半熟蛋($30)
這次選擇了
牛辛口x2 (搭配氣泡飲(葡萄柚/藍柑橘檸檬)
雞甘口x1(搭配氣泡飲(葡萄柚)
一上桌迫不急待要把這份咖哩吃光光了
濃郁的咖哩味配上起司絲再配一口白飯
牛肉軟嫩 飯上面還放了顆半熟蛋～
真的好美味
還可以配氣泡飲享用
焦糖布丁上還有脆脆的穀片在上面
布丁吃起來真Ｄ好吃!
用餐時間60分鐘
食材都是每日現點現做
很多客人都慕名而來
想吃就要早點來呀～～～","普通偏貴，食物吃起來沒問題但是真的很不特別，正餐只有咖哩，就超市日本咖哩塊規規矩矩但是賣你兩百多。冰的話還不錯，但是兩三個人點一碗差不多，份量很多，還有裝它的碗真的太小了啦，冰很扎實但要吃的時候會不小挖出來。有低消也有六十分鐘時間限制。如果沒吃過可以吃吃看冰，咖哩就算了。

Very standard supermarket jape seems curry, only the markup is 200 or so NTD because of an egg and pieces of chicken or beef. Not worth it. The ice is decent though, big portions perfect for sharing (the bowl is too small though, and when eating the ice, it easily spews everywhere) everyone has to order at least a drink and the eating time is sixty minutes. One can come and try the ice, but highly suggest you forgo the curry.","整家店空間不大，去的時候沒有開空調，整個用餐環境有點悶
不過咖喱是好吃的 尤其是那顆蛋
但雞肉有點柴？？？吃起來乾乾的",咖哩口味偏重是我喜歡的，不過女生可能會覺得太鹹，布丁配上微苦的焦糖整體口感都還不錯。,"網美拍照店，想吃粗飽的人慎入
咖喱一般，甜點尚可
價格不低"
日式料理,咖哩,ChIJO4lhio-pQjQR2Vl2-rAuw30,湯咖哩,有素食-一番美人百菇湯咖哩，辣度4，梅酒，湯咖哩好喝，搭配檸檬加飯上，好吃，推薦。唯獨黑木耳多了點，換成波菜應該很讚。,"雖然之前就知道店內位置小，但實際用餐起來真的很擁擠。
牛排湯咖哩味道不錯，四顆星的辣度感覺不出來辣度。
唯一的敗筆，絕對是………………白飯。
忘記多久沒有在日式料理店吃到失敗的白飯，明顯隔夜飯，中間還有乾硬掉的米，完全沒有米飯該有的味道。
不加大白飯與加價20的白飯份量差異沒有很大，可能只有半碗白飯的量差，卻有20元的價差，明顯不合理……
日式料理白飯是靈魂，店家應該要了解。",牛排超好吃，服務親切，偏貴,肉質軟嫩好吃湯特別,超讚的啦 又超好吃的 想要每天都來如果有錢的話
西式/美式,牛排,ChIJH1Grn4upQjQRdZr5MccaMUI,金牛座牛排館,"豬排份量很大肉也很嫩很好吃！！
適合學生cp值高
排餐都有酥皮濃湯
雖然酥皮不太酥
但這個價錢能喝到酥皮濃湯還是超推",還不錯吃,整體東西算可以。但態度再好點，再笑容多一點給客人會更好，臉超臭。會讓人不想走去買。,"公館CP值高的平價牛排館，
有酥皮濃湯，跟免費紅茶喝到飽，可以吃飽飽，
對學生族聚餐聊天來說這家很不錯。",牛排跟酥皮濃湯都是熟悉的味道
西式/美式,牛排,ChIJC_TnkYWpQjQRhxW2l17CRdc,牛魔王牛排,"從服務態度到食物品質都很不行
沙拉的醬料很酸，而且是也感覺不新鮮的酸
湯很鹹，不知道是不是烹煮時整罐鹽巴掉下去
牛排很老，而且想點無醬料，被告知那肉就會不熱...不知道這邏輯在哪，是不是不用醬料就不會煮了...
後來點了蘑菇醬，結果肉上有一大把黑胡椒
服務態度問題，不是巔峰用餐時間，一進門到坐下不到3分鐘，馬上來問可以點餐了嗎？不給時間好好看菜單
上湯時幾乎是用摔的在桌上...
可能是手滑或是意外，但店員也完全沒有表示
上菜順序也很怪，後面一桌晚我們5分鐘到的客人，但上菜速度都比我們快
結論：不建議人類去吃",牛排份量厚實，有嚼勁，味美口感佳！應有五星少二星…因為傻大個男服務生態度囂張傲慢點餐像在耍流氓，應該是很想離職了，全身搖晃不停像八家將一樣，口氣像討債的，不知對客人兇個屁？ 去除這坨傻大個，這家店能達五星。好吃的店碰到這款傢伙… 真是嘔！,"進店裡時，店員在滑手機沒注意到，但是問問題都會回答

整體不管主餐附餐都偏鹹，可能是因為人手不足之故，出餐速度慢（當時店裏人不多，包含我大約五位客人，但從我點餐到我拿到排餐大概花了半小時）

買排餐會送酥皮濃湯和沙拉，沙拉還可以，但是酥皮濃湯的湯底有點過鹹，酥皮還好，濃湯不可續。

主餐中規中舉，沒有特別好吃，不特別推薦也不diss，但牛肉結構偏鬆散，醬加太多，但價格180，就自己去斟酌值不值。麵條跟烏龍麵有點像，是粗粗的有嚼勁。

店內除了沙拉濃湯外，還有附上紅茶以及冰淇淋，這兩者是可以無限續的。紅茶口味偏向早餐店，沒什麼意外，冰淇淋口味還可以，提供四種口味（香草、香檳葡萄、芒果、草莓）

用現金付款，廁所算乾淨（女廁有蹲式馬桶）

整體而言，應該不會特意回訪，除非人剛好在師大夜市想吃牛排","便宜大碗的夜市牛排店。
鐵板麵跟肉的份量都很多、又附沙拉跟酥皮濃湯，是女孩子會吃不完的份量。
豬排跟雞排會煎出一層脆脆的皮，算是店裡特色。但是口味非常鹹，我常吃外食仍然覺得過鹹。
總之想要大份量可以試試，但不算特別美味。",牛排吃起來普通，但酥皮濃湯是我喝過台北平靜牛排中最好喝的！酥皮烤的非常好
西式/美式,牛排,ChIJl19DPiypQjQRtD2HKVjMkzE,牛二哥牛排館,"2020/10/31 今年首訪

好久沒吃了，看到網路上評價還不錯，就去複習一下吧

老闆可能是被太多人批評態度不好，所以對我到是輕聲細語的，但因為我頭戴全罩式安全帽，變成老闆總要問兩次以上，我才聽得懂他再說什麼。

點了份黑胡椒豬排，包了飲料及湯(老闆包的)，ㄟ，現在突然想到麵包呢？網路上有說到的麵包，但我回家沒看到ㄟ！

飲料、湯，說真的沒什麼特別好喝，所以不說了

黑胡椒豬排，剛打開飯盒一看，咖啡色？！是不是老闆放成磨菇醬了？

吃了一口，嗯，好像黑楜椒的味道，可是沒有傳統黑胡椒醬的香味。

豬排吃起來比我想像中來得硬，感覺有點過熟了，搭配著不好吃的黑胡椒醬。

唉...

(我開始懷疑評價了)

五星：再怎麼貴也值得專程去吃
四星：值得吃，但CP值不見得高
三星：若是在附近可以去吃吃看
二星：除非主廚調整食譜或做法，否則不值得去冒險
一星：嗯，有事沒事都不要去吃

我的評等是我個人依據上述標準提出的主觀意見，若店家不同意可以提出看法",牛肉的部分還可以，不錯，麵也不錯吃，麵量不算多，好像可以免費加麵，但我不用加就可以吃飽了所以沒加。醬料有點偏鹹了一點，不過配著免費的紅茶吃還行，紅茶也不會太甜，冰冰涼涼的，玉米濃湯也不錯喝，上菜快速，滿推薦的cp值高,我吃的是12OZ沙朗，CP值很高的牛排店。牛排很嫩，原塊原肉吃起來就是不一樣。濃湯跟飲料也不錯。值得吃吃看,鐵板麵味道中規中矩，玉米湯味道不是很香濃，餐包是厚的大蒜麵包。,300塊的菲力牛排就只是丟在盤子裡的一塊熟牛肉，完全看不出來是用煎的。整片肉排糊成一團，吃起來跟吃肉乾沒什麼兩樣。
